open,high,low,close,volume
176.65,176.65,176.62,176.62,2318
176.62,176.69,176.58,176.68,1212
176.68,176.69,176.58,176.58,1162
176.58,176.68,176.58,176.68,822
176.68,176.69,176.68,176.69,1208
176.69,176.69,176.65,176.69,5806
176.69,176.69,176.64,176.64,768
176.64,176.69,176.53,176.68,806
176.68,176.69,176.68,176.69,3528
176.69,176.73,176.6,176.69,8926
176.69,176.69,176.69,176.69,1018
176.69,176.69,176.65,176.68,1562
176.68,176.69,176.6,176.69,1338
176.69,176.75,176.6,176.62,1182
176.62,176.69,176.54,176.65,1996
176.65,176.69,176.56,176.69,636
176.65,176.69,176.53,176.6,832
176.53,176.68,176.53,176.65,1834
176.65,176.69,176.65,176.69,3972
176.69,176.69,176.65,176.69,2426
176.69,176.69,176.64,176.68,1482
176.68,176.68,176.64,176.68,1044
176.68,176.69,176.64,176.69,2054
176.69,176.69,176.68,176.69,7324
176.69,176.69,176.69,176.69,6564
176.69,176.69,176.65,176.68,990
176.68,176.69,176.58,176.68,7724
176.68,176.68,176.65,176.68,354
176.68,176.69,176.6,176.64,1648
176.64,176.69,176.54,176.69,1794
176.69,176.69,176.64,176.69,1042
176.69,176.69,176.62,176.69,1004
176.68,176.69,176.62,176.69,1392
176.69,176.69,176.68,176.69,1296
176.69,176.69,176.68,176.69,2980
176.62,176.69,176.56,176.68,1804
176.68,176.69,176.6,176.69,1776
176.69,176.69,176.6,176.69,694
176.69,176.69,176.6,176.69,968
176.69,176.69,176.62,176.69,1082
176.69,176.69,176.62,176.65,474
176.65,176.69,176.6,176.6,1464
176.6,176.65,176.5,176.58,2568
176.58,176.69,176.54,176.69,1588
176.69,176.69,176.65,176.69,1724
176.69,176.69,176.65,176.65,856
176.65,176.65,176.56,176.64,744
176.64,176.69,176.64,176.64,1016
176.64,176.68,176.54,176.64,2604
176.64,176.68,176.53,176.53,2106
176.53,176.54,176.38,176.41,4510
176.43,176.84,176.38,176.84,5626
176.83,176.99,176.77,176.95,7826
176.95,176.95,176.6,176.6,21400
176.6,176.69,176.47,176.54,10548
176.54,176.6,176.32,176.43,19352
176.43,176.65,176.43,176.58,12662
176.56,176.65,176.45,176.56,5464
176.62,176.77,176.54,176.77,10524
176.77,176.84,176.56,176.56,2888
176.64,176.75,176.58,176.68,2108
176.69,176.92,176.69,176.92,5268
176.92,176.94,176.79,176.88,2134
176.8,176.88,176.73,176.88,720
176.88,176.94,176.84,176.94,976
176.94,176.94,176.83,176.94,790
176.94,176.94,176.83,176.94,6078
176.88,177.18,176.88,177.17,6288
177.17,177.18,177.07,177.14,1218
177.14,177.26,177.11,177.26,1676
177.26,177.26,177.18,177.24,782
177.24,177.24,177.2,177.24,1082
177.24,177.26,177.2,177.26,3258
177.07,177.26,177.07,177.22,3620
177.22,177.24,177.13,177.24,436
177.24,177.26,177.17,177.26,2852
177.26,177.37,177.26,177.37,1508
177.39,177.74,177.33,177.74,9392
177.74,177.97,177.74,177.82,18676
177.82,177.88,177.74,177.82,3994
177.82,177.82,177.67,177.77,1288
177.77,177.86,177.73,177.82,5252
177.82,177.82,177.71,177.82,1094
177.82,177.92,177.78,177.92,2252
177.92,177.97,177.82,177.97,1022
177.97,178.01,177.92,177.97,3574
177.97,178.01,177.93,177.93,3570
177.82,178.01,177.82,177.99,2202
177.99,178.01,177.84,177.93,2024
177.93,178.18,177.84,178.03,3158
178.11,178.14,178.03,178.12,1272
178.12,178.2,178.12,178.2,1580
178.2,178.2,178.14,178.2,594
178.2,178.23,178.14,178.23,1558
178.23,178.23,178.16,178.2,4392
178.2,178.2,178.03,178.14,2736
178.14,178.14,177.58,177.74,7824
177.74,177.8,177.58,177.74,5800
177.74,177.78,177.65,177.73,2512
177.73,178.12,177.73,178.12,2634
178.12,178.12,177.97,178.05,1494
178.05,178.12,177.99,178.12,632
178.12,178.12,177.82,177.93,3282
177.93,178.07,177.84,178.07,926
178.07,178.12,178.05,178.12,874
178.12,178.14,178.01,178.01,650
178.01,178.01,177.92,178.01,622
178.01,178.11,177.92,178.03,522
178.03,178.05,177.93,178.05,694
178.05,178.05,177.95,178.01,1158
178.01,178.03,177.93,178.01,376
178.01,178.07,177.92,178.05,294
178.05,178.08,177.97,178.07,1518
178.07,178.12,178.05,178.12,448
178.12,178.14,178.12,178.14,444
178.14,178.14,178.05,178.14,470
178.14,178.14,178.03,178.03,312
178.11,178.11,177.93,178.08,874
178.07,178.07,177.93,177.99,336
177.99,178.11,177.89,178.05,1152
178.05,178.05,177.89,177.99,840
177.97,177.97,177.69,177.74,832
177.74,177.74,177.54,177.65,2148
177.63,177.82,177.63,177.8,2772
177.65,177.8,177.65,177.8,1954
177.8,177.8,177.74,177.8,256
177.8,177.8,177.71,177.8,468
177.8,177.8,177.62,177.62,2086
177.62,177.65,177.52,177.63,3092
177.59,177.59,177.48,177.5,508
177.5,177.69,177.47,177.69,2404
177.69,177.69,177.62,177.67,286
177.67,177.74,177.47,177.74,7034
177.74,177.74,177.24,177.24,5690
177.33,177.39,177.14,177.24,2634
177.33,177.44,177.33,177.44,2290
177.44,177.44,177.22,177.41,1600
177.41,177.43,177.18,177.26,1470
177.26,177.43,177.22,177.43,1684
177.43,177.43,177.28,177.33,368
177.28,177.37,177.2,177.29,830
177.29,177.43,177.22,177.39,1132
177.39,177.39,177.17,177.2,1228
177.2,177.39,177.14,177.39,656
177.39,177.44,177.39,177.44,734
177.44,177.44,177.39,177.44,1356
177.48,177.67,177.44,177.67,2838
177.67,177.74,177.26,177.54,5580
177.54,177.63,177.52,177.63,472
177.63,177.63,177.32,177.43,740
177.43,177.43,177.26,177.37,2704
177.39,177.47,177.39,177.43,256
177.43,177.43,177.41,177.43,576
177.43,177.43,177.18,177.43,1454
177.43,177.43,177.39,177.41,330
177.35,177.41,177.32,177.35,1318
177.37,177.43,177.37,177.39,984
177.37,177.37,177.35,177.37,354
177.37,177.37,177.28,177.37,1126
177.37,177.39,177.37,177.39,674
177.39,177.39,177.17,177.28,2136
177.29,177.33,177.18,177.33,990
177.33,177.41,177.32,177.39,686
177.39,177.41,177.35,177.41,276
177.41,177.41,177.26,177.41,648
177.41,177.41,177.41,177.41,294
177.41,177.41,177.26,177.33,412
177.37,177.48,177.26,177.48,6434
177.62,177.78,177.47,177.78,5102
177.77,178.14,177.48,177.48,12908
177.5,178.01,177.5,177.63,4520
177.74,177.74,177.43,177.44,910
177.44,177.44,177.33,177.37,502
177.37,177.37,177.33,177.35,1196
177.35,177.44,177.29,177.29,3008
177.39,177.47,177.29,177.32,806
177.39,177.59,177.39,177.43,1800
177.43,177.43,177.37,177.41,1292
177.39,177.41,177.33,177.41,1282
177.39,177.39,177.35,177.35,1380
177.35,177.41,177.35,177.41,1482
177.41,177.44,177.33,177.35,4164
177.35,177.35,177.35,177.35,1288
177.35,177.44,177.35,177.43,1540
177.44,177.44,177.35,177.43,2044
177.43,177.43,177.41,177.41,1402
177.43,177.43,177.41,177.41,1686
177.35,177.43,177.33,177.41,1532
177.41,177.43,177.35,177.35,1444
177.37,177.37,177.28,177.29,2546
177.29,177.29,177.24,177.26,5846
177.26,177.26,177.22,177.24,2030
177.22,177.22,177.05,177.22,5460
177.22,177.22,177.17,177.22,2568
177.22,177.35,177.22,177.35,5072
177.35,177.35,177.17,177.17,1668
177.17,177.33,177.13,177.33,2230
177.32,177.32,177.28,177.29,1240
177.28,177.28,177.13,177.17,2036
177.17,177.2,177.17,177.17,1830
177.14,177.18,177.13,177.14,2990
177.2,177.2,177.2,177.2,2782
177.2,177.2,177.11,177.14,3248
177.14,177.14,177.14,177.14,1270
177.14,177.33,177.14,177.33,1364
177.33,177.33,177.28,177.28,1398
177.28,177.29,177.2,177.28,1710
177.28,177.29,177.24,177.26,1110
177.26,177.32,177.26,177.32,2746
177.32,177.32,177.29,177.32,3746
177.35,177.44,177.28,177.28,3036
177.28,177.37,177.28,177.33,1044
177.22,177.33,177.22,177.32,1074
177.32,177.5,177.28,177.33,2102
177.33,177.33,177.2,177.2,1256
177.28,177.28,177.18,177.2,1088
177.18,177.22,177.18,177.2,1988
177.26,177.32,177.24,177.24,1204
177.24,177.24,177.13,177.2,886
177.22,177.24,177.22,177.24,1366
177.24,177.26,177.24,177.26,1098
177.26,177.28,177.26,177.28,3188
177.41,177.5,177.39,177.43,3546
177.54,177.63,177.33,177.33,2754
177.5,177.52,177.44,177.52,1254
177.52,177.52,177.35,177.37,2278
177.37,177.37,177.35,177.37,898
177.37,177.54,177.37,177.43,1862
177.43,177.58,177.14,177.24,4856
177.26,177.26,177.03,177.03,3996
177.05,177.05,176.86,176.86,4498
176.86,176.86,176.84,176.86,2516
176.86,176.86,176.8,176.86,3290
176.86,176.94,176.83,176.86,1694
176.94,176.95,176.86,176.86,1046
176.86,176.95,176.83,176.83,5674
176.83,176.88,176.8,176.88,3798
176.86,176.88,176.64,176.64,5226
176.64,176.64,175.83,175.83,14468
175.85,175.98,175.59,175.66,23056
175.66,175.86,175.41,175.47,29462
175.47,175.6,175.44,175.55,16018
175.55,175.56,175.47,175.49,9802
175.49,175.56,175.47,175.51,12924
175.51,175.71,175.49,175.64,11122
175.64,175.85,175.64,175.71,10658
175.71,175.75,175.41,175.44,10136
